fold,val_accuracy,macro_f1,f1_Focused,f1_Chatting,f1_Looking Away,f1_Using Phone
1,0.9534206695778749,0.9498054527495694,0.9946524064171123,0.918429003021148,0.8970099667774086,0.9891304347826086
2,0.9694323144104804,0.9675747638840152,0.9890710382513661,0.9532710280373832,0.9333333333333333,0.9946236559139785
3,0.9548762736535662,0.9509389549675855,0.9945945945945946,0.9151515151515152,0.8993288590604027,0.9946808510638298
4,0.9534206695778749,0.9499989377953401,0.997289972899729,0.9125,0.9009584664536742,0.989247311827957
5,0.9504373177842566,0.9466023305323287,0.9973045822102425,0.9074074074074074,0.8925081433224755,0.9891891891891892
